[0s] 我講講我的底層的投哲學吧
[1769s] 您是零七年其實就離開公布金銀行業了嗎
[1773s] 就是為什麼在這種高跟猛金的時候
[1775s] 你就選擇離開了
[1778s] 這個呢
[1779s] 就是我覺得
[1780s] 就是可能跟人生的哲學
[1783s] 投資哲學也有關係吧
[1785s] 就是到了六千年福建
[1788s] 其實你按著嫁兒投資的
[1790s] 那些引念來看
[1792s] 市場已經嚴重高估了
[1794s] 嚴重高估的話
[1796s] 在這樣一個市場中進行投資的話
[1799s] 你覺得很困難
[1801s] 所以呢其實不僅我
[1803s] 在那個時候離開了公布
[1805s] 其實還有很多的知名的
[1808s] 公布金金裡
[1809s] 在那一年頭離開了公布
[1812s] 其實如果你做金投資的話
[1814s] 你看在高點的時候
[1817s] 這些金金裡離職的話
[1819s] 其實也可以做一個
[1821s] 熟悔或者賣出的
[1823s] 一個風響標
[1825s] 明白了
[1826s] 那還有一個因素呢
[1828s] 就是中印基金
[1830s] 後來跟華艾金要合併
[1833s] 那這樣一個變化的話
[1835s] 所在其中的管理人員
[1837s] 是對未來的這個
[1839s] 職業的這個組架構的變化
[1841s] 是不清楚的
[1843s] 明白
[1844s] 那這樣時候呢
[1845s] 又有其他的機構
[1847s] 拋出感染汁
[1848s] 這也是決策的一個
[1850s] 很重要的一個因素
[1852s] 另外還有一個因素呢
[1854s] 就是說我這個人
[1856s] 就是還是喜歡擁抱創新的
[1858s] 我覺得呢
[1860s] 阿富汗講得很對
[1862s] 要做自己能力圈以內的這個事情
[1865s] 但是能力圈的話
[1867s] 你是需要去拓展的
[1869s] 那個時候呢
[1870s] 我覺得呢在中國正好
[1872s] 你看古改會改
[1874s] 外資機構進入中國開展業
[1877s] 我們也能夠接觸到
[1879s] 他們的一些投資思想
[1882s] 研究思想
[1883s] 那我覺得不夠
[1885s] 可能還要更多的
[1887s] 深度的融入其中
[1890s] 所以呢我覺得呢
[1891s] 到香港做這個
[1893s] 海外的這個市場
[1896s] 我想呢
[1897s] 還是去外面看一看
[1899s] 學習一下這個成熟市場的
[1901s] 一些玩法
[1903s] 所以這三點原因是
[1905s] 我當時離開的
[1907s] 主要的這個因素
[1909s] 當時您去香港
[1910s] 是去的每家機構
[1911s] 還在中心系統內
[1913s] 叫中心資本
[1914s] 那就是它的投資
[1916s] 就是面向海外的什麼
[1918s] 對的
[1919s] 投資標底是海外的
[1920s] 然後客戶
[1921s] 會員海外的
[1922s] 對
[1923s] 你還記得
[1924s] 比如說當時在
[1926s] 判登這個
[1927s] 6124的這個高峰的時候
[1928s] 就是這個市場
[1930s] 你相當於是在
[1931s] 還沒到最頂峰的時候
[1932s] 就在偏左側
[1934s] 偏左側
[1935s] 就是6000點偏左側一點
[1937s] 這些點
[1938s] 當然像您剛才您說的
[1939s] 大概有別的因素
[1941s] 就是中心
[1942s] 和華夏的合併了
[1943s] 等等這些因素
[1944s] 但是咱就說
[1945s] 純從市場段
[1946s] 你還記不記得當時
[1948s] 你對於6000點
[1949s] 這個事兒
[1950s] 是個什麼判斷
[1951s] 或者
[1952s] 在階段性
[1953s] 它在三千四千五千的時候
[1955s] 你對這個市場
[1956s] 接下來該怎麼走
[1957s] 當時這個判斷是怎麼樣
[1959s] 我記得在
[1961s] 零七年的二月
[1963s] 有一個採訪
[1965s] 等三千多點
[1966s] 當時就是有
[1968s] 判斷和這個
[1970s] 聲音就起來了
[1971s] 三千多就有
[1972s] 判斷了
[1973s] 對
[1974s] 大概不到三千五
[1975s] 三千五左右
[1976s] 大家就會問這個問題
[1978s] 因為我們是從一千點
[1980s] 漲到了三千五
[1982s] 對
[1983s] 其實也漲了不少
[1984s] 是
[1985s] 那時候就是
[1986s] 有這種輿論
[1987s] 然後很多媒體
[1989s] 很關注這個問題
[1991s] 那時候比較活躍的媒體
[1992s] 應該是核訓
[1994s] 有一個採訪
[1996s] 那我記得呢
[1997s] 就是說
[1998s] 我的回答呢
[1999s] 是
[2000s] 有泡沫
[2001s] 但是
[2002s] 理性的泡沫
[2003s] 這個泡沫的話呢
[2005s] 是好的泡沫
[2007s] 就是說啤酒泡沫
[2008s] 你合起來
[2009s] 更爽的一個階段
[2010s] 對
[2011s] 在三千五左右的時候
[2012s] 對
[2013s] 然後後面的話呢
[2015s] 就是
[2016s] 我就到了五千點
[2017s] 往六千點
[2018s] 衝的溫中
[2019s] 其實就有點瘋狂了
[2021s] 但是其實你當時可能也並不知道
[2023s] 它能瘋狂的
[2024s] 多少點
[2025s] 這就是投資中最難做的一件事
[2027s] 精確責實
[2028s] 是非常難的一件事
[2029s] 對
[2030s] 我覺得您已經挺精確的
[2032s] 六千點的時候
[2034s] 就選擇退
[2035s] 那回過頭來看嗎
[2037s] 因為投資呢
[2038s] 一方面靠那個科學
[2041s] 一方面是藝術
[2043s] 同時呢
[2044s] 還有要有運氣成
[2045s] 所以呢
[2046s] 這個
[2047s] 就是一個概率吧
[2049s] 那我就不得不再想問一下
[2051s] 您之後的這個心態啊
[2052s] 就比如說你去香港
[2054s] 去做這個
[2055s] 坦白投資了
[2056s] 然後跨市場掉下來
[2058s] 肯定你也看到了
[2059s] 那個時候
[2060s] 你又怎麼看待
[2061s] 雖然你肉身已經
[2062s] 能離開這個市場了
[2064s] 你怎麼看待
[2066s] 從6124
[2067s] 又極速下滑的這麼一個過程
[2069s] 這個過程的話呢
[2071s] 就是雖然我是在香港
[2073s] 也是完整地看到的
[2075s] 對
[2076s] 內合香港市場
[2077s] 去大的一個跌幅吧
[2079s] 我們去香港發展的話呢
[2081s] 也沒有那麼順暢
[2083s] 因為我們
[2084s] 想零七年在高點的時候出去
[2087s] 你以為在海外市場
[2089s] 能找到等好的機會
[2090s] 但其實呢
[2091s] 當我們去海外
[2093s] 去穆茲的時候
[2094s] 各大的教育基金會
[2096s] 什麼哈佛
[2097s] 基金會啊
[2098s] 可能比亞基金會啊
[2100s] 等等
[2101s] 我們都在美國拜訪一圈
[2103s] 但其實那個時候
[2104s] 大家都很謹慎了
[2105s] 就是當時拜訪就是為了
[2107s] 去穆茲是吧
[2108s] 對呀
[2109s] 但是你得到的反饋
[2111s] 就是說
[2112s] 大家多喝對這個市場
[2113s] 沒有信心
[2114s] 但是當時
[2115s] 你們本身不也是投海外嗎
[2117s] 並不是
[2118s] 屁這些基金投國內市場
[2120s] 是投海外
[2121s] 中國資產的海外嗎
[2123s] 中國資產嘛
[2124s] 對
[2125s] 那你講的故事
[2127s] 就是說我去投中國資產
[2129s] 我們瞭解中國嘛
[2131s] 就是瞭解中國資產嘛
[2133s] 但是那個時候
[2134s] 其實你很難目到很多的錢
[2137s] 那恰恰就是說
[2139s] 這個市場呢
[2140s] 極轉之下
[2141s] 那麼到了
[2143s] 07年的
[2144s] 下半年
[2145s] 我又回到了國內
[2147s] 加入到中央見頭
[2148s] 管自營這個款
[2149s] 大概是這樣一個情況
[2151s] 等於就在那待了一年多
[2153s] 我本來也就是想去看
[2155s] 一看萬年時間嘛
[2156s] 就是07年
[2157s] 07到08年
[2159s] 08年
[2160s] 經過這個
[2162s] 波蘭企服的過程
[2164s] 其實就是在那邊
[2165s] 真正的投資的話呢
[2167s] 做得也不多
[2168s] 有時候更多的是
[2169s] 建設了一下
[2170s] 那邊的市場的規則呀
[2173s] 那時候正好我也在香港
[2174s] 是嗎
[2175s] 對
[2176s] 我那會兒在香港上完學之後
[2178s] 我在鳳凰卫視
[2180s] 因為我從第一份工作
[2182s] 就沒提出事
[2183s] 我明天小一些
[2184s] 然後正好也在香港
[2186s] 07.08年
[2187s] 在鳳凰卫視
[2188s] 那我沒時候
[2189s] 我是能看到你
[2190s] 我一直在香港待到了10年
[2191s] 保佑10年
[2192s] 所以其實在香港
[2193s] 是在那經歷了
[2194s] 金融危機
[2195s] 的全過程
[2196s] 然後我們以一個
[2198s] 出版了媒體報導者的身份
[2199s] 去報導整個的紅流
[2201s] 然後香港
[2202s] 因為也捲入了這場紅流
[2204s] 所以當時
[2205s] 本地市場的反應
[2206s] 也是很大的
[2207s] 那個時候牛市
[2208s] 那房子
[2209s] 撐撐的漲
[2210s] 到下面
[2211s] 就全都跌回來了
[2212s] 對
[2213s] 我印象最深的就是
[2214s] 08年之前
[2216s] 我們的房租還是很貴的
[2218s] 我們可能
[2220s] 兩個人合租一個
[2222s] 只有20多平米
[2223s] 非常小的房子
[2224s] 那還是很貴的
[2225s] 08年經歷危機之後
[2227s] 我就可以自己一個人
[2229s] 做房了
[2230s] 房價基本砍壩了
[2232s] 就是它那個房地產
[2233s] 市場非常的市場化
[2234s] 之後您回來之後
[2236s] 等於又回到了
[2237s] A股的
[2238s] 大陣營當中
[2239s] 對
[2240s] 接下來是什麼樣的
[2241s] 一個市場途徑呢
[2243s] 就從您個人的經歷來說
[2244s] 我在中間頭
[2246s] 我有個同事
[2247s] 非常的有名
[2248s] 就叫周金濤
[2250s] 金濤總
[2251s] 應該說呢
[2252s] 它在07年
[2253s] 非常精準地預測到了
[2255s] 那個危機的這個產生
[2257s] 您說危機是指
[2259s] 美國測代危機嗎
[2260s] 還是指
[2261s] 就是說周期
[2262s] 從剛波周期
[2263s] 從繁榮往
[2264s] 甩退去走
[2266s] 算是我覺得很準的
[2267s] 很準的
[2268s] 全球性還是
[2269s] 中國的全球性
[2270s] 全球性
[2271s] 對
[2272s] 因為剛波周期
[2273s] 是全球性的
[2274s] 它的周期理論
[2275s] 在那個時候
[2276s] 是非常有效的
[2277s] 但是
[2278s] 就在我們在
[2280s] 見頭做同事這段時間
[2281s] 其實周期理論
[2283s] 應用的效果不好
[2285s] 後來我離開了見頭以後
[2287s] 在1516年
[2289s] 那時候
[2290s] 它的那個理論又大方一彩
[2292s] 所以呢
[2293s] 就任何一個理論的話呢
[2295s] 在不同的時期
[2297s] 可能不一樣
[2298s] 我在見頭這段時間
[2300s] 就是08到13年這段時間
[2304s] 全球的金融危機
[2305s] 和中國的
[2307s] 就是政策的這個對充
[2310s] 它的周期被運貧了
[2313s] 這個時候的話呢
[2315s] 可能更多的是
[2317s] 需要分析產業的東西
[2319s] 然後看這個
[2321s] 具體的這個
[2323s] 微觀層面的東西
[2324s] 發揮的作用
[2325s] 就更大的這個階段
[2327s] 這是一點
[2328s] 我覺得
[2329s] 就分析這個產業紅官
[2331s] 是有變化的
[2333s] 再有呢
[2334s] 就是說
[2335s] 我們從2010年
[2337s] 中國開始
[2339s] 推這股市期貨
[2341s] 那股市期貨出來以後呢
[2343s] 這是我從業
[2345s] 三十多年的一個經驗
[2347s] 只要一個新東西出來
[2349s] 它裡面就充滿了這個機會
[2352s] 股市期貨出來以後
[2354s] 一開始大幅升水
[2356s] 那你直接做機差套例
[2359s] 就能做到年化百分之十二
[2361s] 而且我們那時候呢
[2363s] 從海外引進了一些
[2365s] 優秀的這個人才
[2367s] 譬如說現在的這個
[2369s] 陰諾的創始人
[2370s] 徐叔男
[2371s] 那就是我們那個部門呢
[2374s] 一開始的話呢
[2376s] 就是用一個賽爾表
[2378s] 然後呢
[2379s] 用VBA
[2380s] 直接進行這個
[2382s] 監控啊
[2383s] 套例啊
[2384s] 它為我們部門
[2385s] 因為自營能做到年化十二
[2387s] 那就相當好
[2388s] 那是
[2389s] 這種簡單的
[2391s] 這種量化套例
[2392s] 就能夠實現
[2394s] 後面就是量化的大發展
[2397s] 從你
[2398s] 15年之後
[2400s] 很多人出來創業
[2402s] 做量化
[2403s] 做得非常的成功
[2405s] 你覺得你自己的這個
[2407s] 投資的理念或者叫框架了
[2410s] 在譬如說股市期貨出來之後
[2412s] 以及再往後重新回到A股市場
[2415s] 它和上一段
[2416s] 就是你零七年之前
[2418s] 就有什麼更進一步的跌代了
[2421s] 投資體系的話呢
[2423s] 還是沿著原來的這個方向
[2425s] 即是這個架投資
[2428s] 又要注重紅官的分析
[2431s] 因為可見
[2432s] 零七等零八年這一波
[2434s] 讓我對這個
[2435s] 整個的紅官對這個
[2438s] 微觀的影響
[2439s] 其實紅官的影響是非常巨大的
[2442s] 也強調這個組合投資
[2445s] 但是
[2446s] 現在建投管的自營錢還是少
[2448s] 所以更多的
[2449s] 我覺得強調這個絕對收益
[2452s] 交易的紀律
[2453s] 我們有嚴格的
[2454s] 職損的這個制度
[2456s] 而且我們也分盤
[2457s] 給研究員做
[2459s] 我們很多研究員
[2461s] 在這些的訓練的觀眾
[2464s] 成長得非常的優秀
[2466s] 就是現在
[2467s] 就是這兩年的行情
[2468s] 我們原來的同時
[2469s] 在這兩年
[2471s] 那時候訓練完以後
[2473s] 去了其他單位都是一把好手
[2475s] 現在就是他們有的自己出來自己幹
[2478s] 有的這兩年正了十倍的手機
[2481s] 所以就是說
[2483s] 因為有了這樣一個
[2485s] 有紀律
[2486s] 但是又強調
[2487s] 投資本質的這個價值分析
[2490s] 綜合考慮各方面的交易因素
[2493s] 所以他們能做得非常好
[2495s] 第三年
[2496s] 又是怎麼決定
[2497s] 就是出來做私募的
[2499s] 也比較簡單
[2501s] 我呢
[2502s] 就是說
[2503s] 看到了私募基金行業
[2506s] 這個出臺了
[2507s] 私募基金條例
[2508s] 其實一二年就出來了
[2510s] 那個時候就
[2511s] 想出來自己
[2513s] 擔幹
[2514s] 因為我是在公務時代
[2518s] 就是有了政策
[2520s] 然後完整的經歷了
[2522s] 公務的黃金的這個十年
[2524s] 那我大致判斷的
[2526s] 私募基金條例出來
[2527s] 會迎來私募基金發展的
[2529s] 黃金的至少十年
[2531s] 而且私募基金的話
[2533s] 因為他的所有權
[2535s] 是非常的清晰的
[2537s] 能夠做到股東結構的穩定
[2540s] 尤其是像做投資這件事情
[2543s] 非常需要這個
[2545s] 股東的架構的這個穩定
[2548s] 所以呢
[2549s] 就是我非常看好
[2552s] 私募基金這個行業
[2554s] 其次呢
[2555s] 就是說我和中心健頭的這個合約
[2559s] 服務五年正好要到期
[2562s] 就是一個天使地理人和
[2566s] 差不多是這樣的
[2568s] 還有第三點呢
[2570s] 我一零年時候
[2571s] 在長江商學院
[2573s] 讀了一個CEO班
[2575s] 班上的又非常優秀的其個企業家
[2577s] 現在他們的
[2579s] 商業公司的事實格都是
[2581s] 三五千億這樣規模的
[2584s] 那麼我們是看著他從
[2586s] 一兩百億
[2588s] 到現在的這樣一個過程
[2591s] 所以我覺得呢
[2592s] 就是說如果我在體系內打工
[2595s] 是不錯
[2596s] 有穩定的一份收入
[2599s] 但彈性不夠
[2601s] 我自認為呢
[2602s] 在四十一二歲的這個年齡
[2605s] 還比較年輕
[2607s] 所以呢
[2608s] 我覺得決定去
[2609s] 在這個行業的機會
[2612s] 面前去闖一闖
[2614s] 哪怕失敗了呢
[2616s] 我也會用
[2617s] 就是以前那個有一個企業家
[2619s] 說過的
[2620s] 因為他去發甘委
[2622s] 申請要做這件事情
[2624s] 但是發甘領導說
[2626s] 會有這種可能失敗
[2628s] 那種失敗
[2629s] 但是這個人說呢
[2630s] 就說領導請給我一次失敗的機會
[2633s] 所以我覺得呢
[2634s] 就說在我面對我人生選擇的時候呢
[2637s] 我覺得我也是想去
[2639s] 獲得一個讓我失敗的機會
[2641s] 我覺得我如果
[2643s] 在四十一二歲的這個年齡
[2646s] 不出來自己幹的話呢
[2648s] 可能以後會後悔的
[2649s] 其實以後失敗了
[2651s] 我覺得我也不會後悔
[2652s] 因為我試過
[2653s] 沒有成功
[2655s] 不會後悔
[2656s] 但是沒有試過
[2657s] 連敢試的學習都沒有
[2659s] 那我一定會後悔的
[2660s] 當時
[2661s] 最大的困境
[2663s] 或者說
[2664s] 左愛
[2665s] 會是木子嗎
[2666s] 還是說因為你過往的
[2667s] 行業紀念已經很深
[2668s] 就木子也很容易
[2669s] 木子其實是很難的一件事情
[2672s] 不要以為你曾經
[2673s] 曾經有很好的這個戰技
[2676s] 有很好的這個經歷
[2679s] 甚至於還有一點知名度
[2682s] 就覺得就能夠
[2683s] 把這些事情做好
[2685s] 我出來的時候呢
[2686s] 包括自己的錢
[2688s] 公司的資本金投進去
[2690s] 身邊的朋友
[2692s] 同學
[2693s] 都投進去
[2695s] 最後
[2696s] 也就木到了八千萬
[2698s] 在這個資本市上面前
[2700s] 就是一定不要覺得自己
[2702s] 有多牛啊
[2703s] 多強啊
[2704s] 其實
[2705s] 在都是過眼暈眠的事情
[2707s] 這個市場
[2709s] 只要過去一年
[2711s] 大家都會把你放了
[2712s] 因為每天都會有新的
[2715s] 這個後浪推錢浪
[2717s] 這個錢浪躺在沙灘上
[2719s] 它一遍一遍的
[2721s] 其實衝刷了
[2722s] 別說你
[2723s] 六年了
[2724s] 其實有一年時間
[2725s] 你不在江湖中
[2727s] 江湖可能就早一八年
[2729s] 就忘了
[2730s] 我覺得有事
[2731s] 出來說是沒有流量的
[2732s] 明白
[2733s] 這個裡面
[2734s] 我覺得做一個
[2735s] 司募基因的初始
[2736s] 流量是一方面嘛
[2738s] 第二個就是
[2739s] 我也比較好奇力一點
[2741s] 兩個吧
[2742s] 第一個就是說
[2743s] 你的投資策略
[2745s] 和之前在公務體系裡面
[2748s] 它是完全一樣的嘛
[2749s] 還是說
[2750s] 因為規則不一樣
[2751s] 所以你放飛走
[2753s] 就是有一些新的調整
[2755s] 還是過去的延續
[2758s] 我覺得呢
[2759s] 這就是副例的效應
[2761s] 就是你一開始的初心
[2763s] 和你終點之間
[2765s] 你要把它連接起來
[2767s] 但是呢
[2768s] 過程中的話
[2769s] 你需要完善你的提醒
[2773s] 我覺得呢
[2774s] 做股票是非常難的一件事情
[2776s] 當然了
[2777s] 也可以說是比較簡單
[2779s] 你入門比較簡單
[2781s] 但是呢
[2782s] 你要完善
[2783s] 或者說是完美
[2785s] 這個就特別難了
[2786s] 所以它
[2787s] 它需要你一個綜合能力的這個
[2790s] 激電
[2791s] 跌代
[2792s] 因為從這個時間來看
[2794s] 13年成立
[2796s] 那15年
[2797s] 又有一波小高點了
[2799s] 就到5000多了
[2800s] 這一段時間
[2802s] 我看競爭還是有上漲的這個表現的
[2806s] 但是不是很誇張
[2807s] 所以那段時間
[2808s] 大概你現在回想起來
[2810s] 我們做對了什麼
[2812s] 做錯了什麼
[2813s] 13到14年的這段時間
[2816s] 14年行親啟動之前
[2818s] 這段時間
[2819s] 我出來創業
[2821s] 我覺得呢
[2822s] 就這麼一次機會
[2824s] 只要是一個
[2826s] 大的回撮的話
[2828s] 我這個機會可能就沒有了
[2830s] 你覺得市場不會
[2832s] 再給你第二次機會了
[2833s] 是投資者
[2836s] 不會給你點
[2837s] 投資者不會
[2838s] 你可以看到從
[2839s] 13年到14年的
[2842s] 90月份吧
[2844s] 我們的競爭幾乎是一條線
[2847s] 所以我們就是
[2848s] 完全是很謹慎的
[2850s] 在做就是基本上
[2851s] 就是在九毛九到
[2854s] 一塊零一之間的國動
[2856s] 沒有大漲
[2857s] 就是很謹慎
[2859s] 也錯過了很多的
[2861s] 小股票的這個機會
[2863s] 但是也沒有
[2865s] 就是陷入到那個深度回調的
[2869s] 這樣一個狀況
[2871s] 你覺得這個底層是
[2872s] 因為你想
[2873s] 積了一年投資者的信任
[2875s] 實際上我不敢
[2877s] 給大家賠錢
[2878s] 因為
[2879s] 在體系內的話
[2880s] 每個月工資
[2882s] 都是打的卡進去的
[2884s] 現在出來
[2885s] 我們一開始
[2886s] 做了一個兩劇事
[2887s] 一個月兩萬七
[2889s] 就是從我的卡上
[2890s] 打出去
[2891s] 所以
[2892s] 你看不到現金的流入
[2894s] 只看到現金的流出
[2897s] 創意的心態和打工的心態
[2899s] 是不太一樣的
[2900s] 13年兩劇事
[2902s] 那最近挺貴的
[2904s] 我們在那個精神大廈
[2906s] 租了一個兩劇事
[2908s] 它是
[2909s] 剛剛樓裡面的工業
[2911s] 你肯定是有個適應的過程
[2913s] 當然我們一開始
[2914s] 那段
[2915s] 肯定是謹慎的
[2916s] 美感上腸胃
[2918s] 到後面
[2919s] 才慢慢把腸胃打起來
[2921s] 也分享到了
[2922s] 14年到15年那段的紅利
[2925s] 規模的話
[2926s] 也慢慢的起步
[2928s] 突破
[2929s] 一個億
[2930s] 兩個億
[2931s] 五個億
[2932s] 這樣的慢慢的
[2933s] 就是上來了
[2934s] 到15年的
[2935s] 這段時間
[2936s] 很短啊
[2937s] 大概就一兩年的時間
[2938s] 那段時間
[2939s] 有一個小規模的起飛
[2941s] 它的主要依靠的是
[2943s] 大概哪幾個板塊
[2945s] 或者先啟動
[2946s] 是金融板塊
[2947s] 一般來講的
[2948s] 都是證券先行
[2950s] 那時候
[2951s] 證券股
[2952s] 天天漲停
[2954s] 當時你是
[2955s] 怎麼判斷證券股
[2956s] 要開始漲
[2957s] 其實我看那麼出來
[2958s] 我就是跟隨了
[2960s] 那等於是中斷
[2961s] 對
[2962s] 判斷不出來
[2963s] 但是你就跟上
[2965s] 也許你跟得少
[2966s] 也許你跟得多
[2967s] 但是你
[2968s] 盡量的跟上
[2969s] 您說的這個證券板塊
[2971s] 其實就是
[2972s] 證券股
[2973s] 對
[2974s] 不是銀行這些
[2975s] 銀行業長
[2976s] 就是整個金融板塊都長
[2978s] 其實我們判斷的
[2980s] 還算是準確的
[2982s] 因為我們看到
[2984s] 當時經濟不好
[2986s] 要放稅
[2987s] 所以
[2988s] 證券是寬鬆的
[2990s] 對
[2991s] 像西正準
[2992s] 但是長那麼急
[2993s] 其實是
[2994s] 因為你經歷了
[2995s] 很長時間的熬碼
[2996s] 你是看
[2997s] 我這個方式
[2998s] 但是
[2999s] 它的速度那麼快
[3000s] 是朝你預期的
[3001s] 是不是
[3002s] 有點像
[3003s] 二四年的狀態
[3004s] 完全是
[3005s] 但是
[3007s] 二四年
[3008s] 更極端
[3009s] 反正就是
[3010s] 意思也有這麼一步
[3012s] 對
[3013s] 很極端
[3014s] 所以一個板塊
[3015s] 是券商為核心的金融
[3017s] 對
[3018s] 其他的
[3019s] 後面都是
[3020s] 它會有
[3021s] 那個
[3022s] 敲敲板的效應
[3023s] 就是大股票長
[3024s] 小股票
[3025s] 調一段
[3026s] 小股票長
[3027s] 大股票
[3028s] 調一段
[3029s] 就是這樣一個過程
[3030s] 到最後
[3031s] 到15年的時候
[3032s] 可能
[3033s] 更多的是這種
[3034s] 小股票
[3035s] 長得更豐盛一些
[3036s] 對
[3037s] 那時候還記得
[3038s] 有什麼是
[3039s] 比如您通過
[3040s] 基本面的判斷
[3042s] 很早鎖定了
[3043s] 它左側的機會
[3044s] 這種票
[3045s] 其實我們
[3046s] 股票也不是內部的
[3047s] 這個熱點
[3048s] 像隔離
[3049s] 一例
[3050s] 這些股票的話
[3051s] 它恰恰
[3052s] 不是那段
[3053s] 表現好的股票
[3054s] 它反而是
[3055s] 就是
[3056s] 鑑定以後
[3057s] 後面
[3058s] 慢慢
[3059s] 表現得比較好
[3060s] 經過
[3061s] 那個回挑以後
[3062s] 到15年的時候
[3063s] 就我們就
[3065s] 去重點
[3066s] 跟蹤了像港股的
[3067s] 這個
[3068s] 吉利
[3069s] 這些的七車股
[3070s] 然後我們
[3071s] 在這些七車股
[3072s] 投資中
[3073s] 又獲得了一個
[3074s] 比較好的又會棒
[3075s] 這個是
[3076s] 在15年之後
[3077s] 大概
[3078s] 151617
[3080s] 因為那個時候
[3081s] 對
[3082s] A股就
[3083s] 又下來了嗎
[3084s] 1617年
[3085s] 類似於吉利
[3086s] 這樣的
[3087s] 七車股
[3088s] 為中國的
[3089s] 那個階段
[3090s] 還不是新能源起車
[3091s] 對
[3092s] 它是那中國的
[3093s] 自主品牌的崛起
[3094s] SUV的這個
[3096s] 產品的爆火
[3097s] 帶動了
[3098s] 那個時候的
[3099s] 那個
[3100s] 行情
[3101s] 最早是長程
[3102s] 專門作嘴
[3103s] SUV裡面
[3104s] 後來就是
[3105s] 吉利跟上
[3106s] 它的
[3107s] SUV的
[3108s] 起車
[3109s] 單月賣到一萬量
[3111s] 那時候
[3112s] 吉利
[3113s] 這些股票
[3114s] 兩年翻了10倍
[3116s] 是在
[3117s] 大概15到17
[3118s] 16到17
[3119s] 16到17
[3120s] 等於
[3121s] 你是抓到了
[3122s] 它的起飛
[3123s] 之前的
[3124s] 起飛那段
[3125s] 像這種股票
[3126s] 比如說
[3127s] 從您前期
[3128s] 做掉眼的角度來說
[3129s] 當然
[3130s] 是可能去
[3131s] 鎖定某一個行業
[3132s] 或者從紅官政策
[3133s] 書裡到
[3134s] 一個具體的個股
[3135s] 然後看它
[3136s] 也是像我們
[3137s] 理解的這種
[3138s] 價值投資裡面
[3139s] 去看它的
[3140s] 基本面
[3141s] 包括看它的估值
[3142s] 然後看它
[3143s] 現在是我做的便宜
[3144s] 然後才進
[3145s] 大概是這個邏輯
[3146s] 認知
[3147s] 不可能
[3148s] 在一開始
[3149s] 就那麼清晰的
[3150s] 實際上
[3151s] 我們研究員
[3152s] 對這個
[3153s] 股票跟蹤的
[3154s] 就比較細緻
[3156s] 做了一些
[3157s] 草溫的這個
[3158s] 掉眼
[3159s] 它會自己打電話
[3160s] 給
[3161s] 塞斯電
[3162s] 然後問一問
[3163s] 這個
[3164s] 提車的
[3165s] 需要多久
[3166s] 根據這個
[3167s] 來判斷
[3168s] 它的銷售的
[3169s] 這個
[3170s] 緊敲程度
[3171s] 不是在
[3172s] 打一個這個
[3173s] 地方
[3174s] 全都各地
[3175s] 而且請那些
[3176s] 各地方言
[3177s] 的人去打
[3178s] 讓人可信度
[3179s] 是會高一點
[3181s] 提車賣
[3182s] 說明
[3183s] 爆火是嗎
[3184s] 就是產能受限了
[3185s] 說明它火
[3186s] 要加價的話
[3187s] 也肯定就是
[3188s] 能判斷出來
[3189s] 太好銷售了
[3190s] 我其實
[3191s] 比較好奇的是
[3192s] 比如研究員
[3193s] 它
[3194s] 一直跟這個產業
[3195s] 那它
[3196s] 更早的時候
[3197s] 是怎麼去
[3198s] 看到這家公司呢
[3199s] 一直長期的
[3200s] 跟長期的
[3201s] 只是在那時候
[3202s] 發現了有
[3203s] 可能要爆發的
[3204s] 描頭了
[3205s] 數據出來了
[3206s] 但是股價還沒有
[3207s] 顯現
[3208s] 股價沒有特別的顯現
[3210s] 所以我們一般
[3211s] 在這種
[3212s] 無論是
[3213s] 研究員
[3214s] 還是您
[3215s] 在看這套邏輯的時候
[3216s] 就比較很左側的這種機會
[3218s] 還是我們
[3219s] 向您提到的就是
[3220s] 跟上
[3221s] 有時候是跟上
[3222s] 就是你研究的話
[3223s] 有時候側的
[3224s] 左側
[3225s] 有時候會在右側
[3226s] 那右側的話
[3227s] 可能更多是
[3228s] 要求你
[3229s] 盡快的跟上
[3230s] 其實
[3231s] 幾例
[3232s] 我們也是從兩塊多
[3233s] 開始看
[3234s] 三塊多在加倉
[3235s] 越跟蹤
[3236s] 到十塊錢
[3237s] 我們還在加呢
[3238s] 就還覺得它有機會
[3240s] 對啊
[3241s] 覺得沒有長得會嗎
[3242s] 就你越認知
[3243s] 你越去研究它
[3244s] 你發現它裡面
[3245s] 還有很多的一個邏輯
[3247s] 那也不是一開始
[3248s] 就能形成的
[3249s] 剛才我們說的是
[3250s] 早期
[3251s] 你怎麼看到
[3252s] 然後你在左側
[3253s] 還是跟上
[3254s] 那麼一個情況嗎
[3255s] 那如果
[3256s] 從賣的角度
[3257s] 一般都能夠
[3258s] 賣在相對高位嗎
[3260s] 不一定
[3261s] 賣的時候呢
[3262s] 就我們還沒有形成
[3263s] 一個完整的朋友
[3265s] 到了
[3266s] 二零年以後
[3268s] 我們
[3269s] 內部形成了完整的
[3271s] SEB
[3272s] KMD這樣
[3273s] 一個
[3274s] 平體性
[3275s] 就是以前我們
[3276s] 說一支股票
[3277s] 都是
[3278s] 只有一個平體
[3279s] 是買入
[3280s] 持有
[3281s] 賣出
[3282s] 那我們後來
[3283s] 就是建立了
[3284s] SEB
[3285s] C
[3286s] 還有KMD
[3287s] 就這樣一個
[3288s] 平體性
[3289s] 所以SEB
