[6s] Hello 大家好 欢迎来到我的波客节目起初连兵课
[9s] 我是大伟 问
[10s] 又到了一年一度的年报机中的真是中国系列了
[1865s] 但是很多人都没有想过
[1867s] 它对于下游的这些企业的压力到底会有多大
[1871s] 那么对于今年每一战争造成的原油价格上涨
[1875s] 其实是类似的效果
[1876s] 而且因为原油的整个产业链
[1878s] 它的下游的质成品
[1880s] 比起这些刚才说的这些童贵金属要更多
[1885s] 所以我觉得2026年
[1887s] 特别是上半年
[1888s] 其实还要为很多的这种制造业企业是要捏一把汉的
[1892s] 因为你可以想象
[1893s] 如果连刚才我们说的这些龙头企业都有这样的遭遇
[1896s] 那你小一点的这种制造型企业
[1899s] 就更难把这种压力传导给下游了
[1902s] 而在制造业之外
[1904s] 如果我们把其他的一些中小企业的禁预用
[1907s] 产业园reeds的财报去做一个小小的总结
[1911s] 当然我还是要说明产业园reeds能够涵盖的企业是非常有限的
[1916s] 但是它也是在上市公司这些大公司之外
[1919s] 我们现在能找到的对于相对小一点企业
[1923s] 目前云状况的一个比较好的总结指标
[1926s] 可以看到
[1927s] 就是产业园reeds作为一个整体
[1930s] 不但2025年全年和2026年一季度的收入
[1935s] 同比下滑的这个原区比例接近了90%
[1939s] 有八成多的这个原区
[1941s] 其实收入都在同比下滑
[1943s] 而且一季度环比降幅扩大的比例更达到了75%
[1948s] 有4分之3的产业园在一季度不但收入在下滑
[1953s] 而且环比的降幅还在扩大
[1955s] 这里边举个例子来说像博士蛇口产业园reeds
[1958s] 也就是在深圳的一个产业园
[1961s] 它在寄报中在2026年的一季报里面就写到说
[1965s] 受宏观经济环境与市场供需变化双重因素影响
[1968s] 项目周边市场竞争加剧
[1970s] 光明加速器27项目
[1972s] 万荣大杀的平均有效租金单价同比有所下降
[1976s] 万荣大杀万海大杀出租率同比有所下降
[1980s] 在比如说中金湖北克托光谷reeds
[1982s] 也就是在武汉的这个光谷的一个产业园
[1985s] 它的一季报里面是这么说
[1987s] 它说区域产业园市场整体成压竞争加剧
[1991s] 存量及新增研发办公物业对项目形成明显竞争压力
[1995s] 这一部分说的是就是有更多新的这种物业产业园进入市场
[2000s] 它们也有一个供需失衡的问题
[2002s] 但于此同时某货量网企业集团内各业务板块合属办公后
[2007s] 不再续租
[2008s] 另有线上教育企业业务转型合同到期不再续租
[2012s] 也就是过去几年
[2013s] 我们能够感受到的一些行业的这种
[2016s] 不仅气或者说他们在做业务收缩
[2019s] 其实是一步一步体现在经济的诸多方面的
[2023s] 像线上教育企业其实已经是好多年前
[2026s] 大家说有一波政策的转向包括行业整个的变化
[2031s] 但你看直到2026年还在余波不断会导致产业原本身受到这样的一个影响
[2040s] 所以这也就能看出来经济的运行
[2042s] 确实是非常的复杂
[2044s] 而且是具有一个延续性
[2047s] 甚至很多时候出现智慧性的
[2049s] 那么K型分化的下半段
[2051s] 它都很多问题的源头可能是两三年甚至更长时间以前
[2055s] 但是却体现在了25年的年报里面
[2059s] 那当然了既然是K型分化
[2061s] 那有下当然就会有上
[2063s] 但是在存量经济里面往往这个好的一方
[2067s] 也就是上面的一方都是以下面这一方作为代价的
[2072s] 举个例子来说最典型的就是
[2074s] 我们刚才在讲会长技术
[2076s] 它为了原材料长价而烦恼
[2079s] 那么上游资源型企业就非常的去年的业绩
[2083s] 非常的亮眼
[2083s] 而且不光是业绩亮眼
[2085s] 我们举一个例子就是紫金框业
[2088s] 它其实手握很多金框跟统框
[2090s] 确实是现在已经是万一市值的这么一个大龙头了
[2094s] 它在2026年1月份
[2097s] 居然可以以副收益率的形式
[2099s] 发行了一个零息可转债
[2102s] 我觉得我在这里还是想花一点时间跟大家解释一下
[2105s] 这意味着什么
[2106s] 因为可以反映出当一个行业紧气的时候
[2110s] 它会多么受到资本市场的追捧
[2113s] 所谓的零息可转债就是它是不用复利息的
[2117s] 在还钱的时候一分钱利息都不用给还本就可以
[2121s] 而且刚才说了紫金框业的这笔零息可转债
[2124s] 它是副收益率的
[2126s] 比如说这个可转债它的面值是100块钱
[2129s] 那么公司是以102元的价格发售的
[2132s] 到7之后不但它不用复利息
[2135s] 而且我借了102块钱
[2137s] 但是我只需要还100块钱
[2140s] 这就叫所谓的副收益率的零息债券
[2143s] 当然了投资者也不是傻了
[2145s] 它为什么要干这样的事呢
[2146s] 是因为这是一个可转债
[2148s] 它里面还复了一个可以转股的权利
[2152s] 关于可转债我之前也专门做过一起节目去讲它的一个特性
[2156s] 在紫金框业的这个可转债里面
[2159s] 它还有一个非常重要的特点
[2161s] 就是它自己在年报里也写
[2163s] 说是亚太地区有时以来
[2166s] 框业类可转债最高的转股一价率多少呢
[2169s] 40%也就是说如果我们假设发行的时候
[2174s] 紫金框业的股价是40块钱
[2176s] 那么转股价就是56块钱
[2178s] 也就是说如果未来这支股票不涨到56块钱
[2182s] 这个转股权都没有任何的价值
[2184s] 只有超过56块钱了才会有价值
[2187s] 最终这笔副收益率的零息H股可转债
[2192s] 发行了多少呢
[2193s] 15亿美元超过100亿人民币
[2196s] 我们赞钱不论啊
[2197s] 就是投资者为什么会这么的看好这家企业
[2201s] 对紫金框业这家公司本身而言
[2204s] 就意味着现阶段它的融资成本
[2207s] 甚至可以说是负的
[2209s] 就是我不但不用付利息
[2211s] 而且我还摆赚了一笔一家金
[2213s] 而且就算未来我的股票
[2215s] 其实没有这样的好的表现
[2217s] 依然等我还钱的时候比我借的还要少
[2221s] 那我觉得这都已经不是说
[2222s] 资本市场认可不认可的问题了
[2225s] 就简直是投资者追着把钱往这些企业嘴里位对不对
[2230s] 当然如果这些企业比较的靠谱
[2232s] 它确实拿了这些钱之后去进行了
[2234s] 生产在投资或者说跨达自己的经营
[2237s] 当然是一个好事
[2238s] 但是你也可以想像在一些行业的上行期
[2241s] 有一些企业并不是这么做的
[2243s] 它可能把这个钱拿去买楼了
[2245s] 或者是去给高管去发工资了
[2248s] 用各种方式去做股权激励了
[2250s] 等等的这些都是有可能的
[2252s] 但是因为它在行业的上行期
[2255s] 它在开心分化的上面一撇
[2257s] 它就有资格有资本去做这样的事情
[2260s] 再比如说消费零售行业
[2262s] 刚才也说了深圳地铁站
[2264s] 上盖的商场都卖不出去
[2267s] 但是如果你看这两年很火的
[2270s] 比如说像零食饭卖这个领域
[2272s] 他们的业务就可以说是争争日上
[2275s] 我去看了像万称集团
[2276s] 包括像明明很忙
[2278s] 他们的这个年报
[2279s] 像万称集团就说
[2280s] 他们今年一共新增了4720家门店
[2284s] 减少了602家
[2285s] 所以到了期末
[2287s] 门店数量已经达到了18000家
[2290s] 这里面当然是加盟
[2291s] 但是一年开4000家的这样的速度
[2294s] 显然是现在其他的这种主流零售业态
[2297s] 很难想象的一个速度了
[2299s] 而明明很忙
[2300s] 它是以它的限级覆盖绿尾奥的
[2303s] 就是它在年报里就讲到说
[2306s] 它现在的门店网络有2万1,948家
[2309s] 有60%的门店
[2311s] 位于限城及乡镇
[2313s] 已经覆盖了1401个线
[2315s] 在中国所有限城中
[2317s] 覆盖绿达到了75%
[2319s] 我都很难想象
[2320s] 在城市这个级别
[2322s] 你说你覆盖了75%的城市都已经很困难了
[2325s] 它居然可以做到到限级
[2327s] 覆盖绿达的75%
[2329s] 这得是多少个限有人
[2331s] 愿意去加盟它零食的饭卖店
[2334s] 这种业态在过去两年
[2336s] 到底遭遇了多么的追捧
[2338s] 其实是很多其他业态
[2340s] 羡慕都羡慕不来的
[2341s] 那如果我们再去看政府之初
[2344s] 刚才也介绍了
[2345s] 杭州市
[2346s] 这么一个经济非常发达的城市
[2349s] 它的灵安区的财政收入
[2351s] 在去年都依然出现了10%以上的下滑
[2354s] 未来会不会再给高速公路通行费买单
[2357s] 都变成了一个位置数
[2358s] 但与此同时
[2360s] 很多的政府支持投向了哪里
[2363s] 我看到了一个案例是在创新要这个领域
[2366s] 它的咖啡笼头科技要业
[2368s] 就写了一种方式
[2370s] 我觉得还蛮有意思的
[2371s] 它在年报中显示说
[2373s] 本公司与当时它的一个间接的副属公司
[2377s] 跟上海是金山区
[2379s] 弯区高兴区的重要平台企业
[2381s] 上海金工企业发展成公司
[2383s] 签署了战略合作协议
[2385s] 总投资额不超过人民币370百万元
[2388s] 就是3.7亿人民币
[2390s] 在上海时金山区建设先进的
[2392s] Carty细胞产品商业化生产基地
[2395s] 这个看起来平平无奇
[2397s] 它就是一个企业投资在当地
[2399s] 马去建厂房的一个项目
[2402s] 但是当我去查了一下具体的操作模式的时候
[2406s] 就发现它是怎么做的
[2408s] 并不是说科技要业
[2409s] 今天就要把3.7亿元交给这个上海金工
[2413s] 让它去帮它建厂房
[2415s] 去装修厂房
[2416s] 而是由政府代为投钱去装修厂房
[2420s] 购买甚至购买设施
[2422s] 然后科技要业在这个厂房交付之后
[2425s] 按季度支付付费
[2427s] 前10年年军不超过1000万元
[2430s] 第11到20年年军不超过1800万元
[2433s] 都是一个相对来说可控的金额
[2436s] 然后在20年内
[2438s] 根据这个协议约定的话
[2440s] 企业进行回购
[2442s] 回购价格按最终投资额
[2444s] 确定上线为3.7亿元
[2446s] 什么意思呢
[2447s] 就像科技要业接着在年报里写的
[2449s] 说本公司早期就无需进行大额的资本开支
[2453s] 有效保留了宝贵的现金流
[2456s] 用于核心研发与市场拓展
[2458s] 因为它每年就只需要交一个租金
[2459s] 你可以把它理解城市
[2461s] 交1000万人民币的一个租金
[2463s] 但是因为有一个回购机制
[2466s] 所以又确保了
[2467s] 本公司在长期云后
[2468s] 人可以完整取得资产的控制权
[2471s] 继维持了生产的稳定性
[2473s] 又强化了资产布局的灵活性
[2476s] 这种地方政府先建
[2478s] 然后企业每年付付费20年内回购的这种安排
[2482s] 以往其实在基建比较新奇的时代
[2485s] 包括PPP等等的这个时代是出现过的
[2488s] 但是在生物医药这个领域
[2490s] 确实在过往很少很少出现
[2493s] 因为我有几年工作也是在张江高科
[2496s] 在那个附近
[2497s] 其实有很多的生物医药企业
[2499s] 你会发现
[2500s] 他们更多的逻辑还是过去做投资资建厂房
[2503s] 像这样政府先给你投钱
[2505s] 然后你可以保留你的现金流去做别的事情
[2509s] 这种安排
[2510s] 可以说不是每个产业都能享受到的
[2513s] 然后现在只有这种新新产业
[2515s] 生物医药这样的行业可以享受到这样的一个
[2518s] 所以总结来说
[2520s] 我觉得开心风话这件事情
[2522s] 我们看到的一个景象是上面好下面坏
[2526s] 但是更像什么呢
[2528s] 更像是开心风话的另外一个应用场景
[2530s] 也就是用资本分配和用劳动分配
[2534s] 你看上去只是大家的财富增长的速度不一样了
[2537s] 增长的这个绝对量不一样
[2539s] 但它背后是两者的逻辑分配的逻辑根本就不一样
[2543s] 现在也是一样对于产业来说
[2546s] 上面的下面的看起来是经营的状况的好以坏
[2549s] 但它背后是它的运行逻辑
[2551s] 它的增长逻辑以及支持的这种因素
[2556s] 变得截然不同
[2557s] 这里面当然有政策的原因
[2559s] 也有市场的原因
[2560s] 但我个人认为归根结底
[2563s] 我看了这么多年报之后
[2564s] 觉得它是符不符合新时代新逻辑的一个原因
[2569s] 那么问题来了什么是新逻辑
[2572s] 新逻辑我把它翻成三个
[2574s] 第一个也是来自于一家企业的年报
[2577s] 就是资金矿业
[2579s] 刚才也介绍了
[2579s] 它是现在的矿产的龙头
[2582s] 它在年报里面其实有一段关于现金
[2586s] 全球资源的格局以及变化写得很精彩
[2589s] 我这里只读其中的一小段
[2591s] 大家感兴趣的话
[2592s] 可以去看我的文章里面
[2594s] 宅超的会更完整一些
[2596s] 它说全球资源治理格局的深度变革
[2599s] 是一场由安全逻辑取代效率逻辑所驱动的系统性重购
[2604s] 传统基于全球化分工的开采
[2607s] 出口海外加工中端制造的现行价值链正在瓦解
[2612s] 取而代之的是区域庇环
[2614s] 本地化与绿色和规驱动的新生态
[2617s] 这里边的一个关键词就是新逻辑的第一词
[2620s] 我认为就是安全逻辑
[2622s] 当然安全逻辑不光是我们会在企业年报里看到的一个词
[2625s] 我们在15归化里面也看到
[2627s] 它也是它的一个核心的关键词
[2630s] 但这个词之前在我看来
[2632s] 它更指向的是那些面向未来的企业
[2635s] 比如说我在三月份回国的时候
[2637s] 就有做一级市场投资的朋友跟我说
[2640s] 现在所有和安全逻辑沾边的项目
[2643s] 不管是商业行天也好
[2645s] 半导体芯片也好都在被红墙
[2647s] 就不管你的估值多少
[2649s] 我都想投进去
[2650s] 因为这是国家支持的一个方向
[2653s] 但是显然安全逻辑不仅仅是针对面向未来的这些产业
[2658s] 包括在上游资源频率也在有所体现
[2662s] 而且你可以想象
[2663s] 在每一冲突爆发之后
[2666s] 这个逻辑特别是在上游资源领域的这个逻辑会进一步的加强
[2670s] 世界各国对于资源乃至供应链的争强都会白热化
[2674s] 那顺风控股就是我们表熟悉的身分快递
[2677s] 他在年报中就表示说
[2680s] 在地缘冲突加剧贸易必累台升
[2683s] 多边关系复杂的国际环境下
[2685s] 全球供应链正在经历一场深刻的系统性重塑
[2688s] 安全、任性、效率成为了全球产业链布局的核心考量
[2693s] 你会发现这三个字的顺序非常的有奖就
[2696s] 安全是第一位的
[2697s] 任性是第二位的
[2698s] 效率是第三位的
[2700s] 这就和前全球化的阶段是截然不同的
[2704s] 那安全逻辑如何体现在公司运营里面呢
[2708s] 我们先暂暗不表
[2710s] 我们来看第二个词
[2711s] 新逻辑的第二词我摘次海尔之家
[2714s] 在这期节目最开始
[2716s] 我引用过一段它描绘外部经营完进的这个年报
[2721s] 它其实在这个之后接着写到说
[2723s] 展望2026
[2724s] 我们看到原有的贸易饭市已经离去
[2728s] 关税博弈导致供应链布局不能几月化
[2731s] 地缘政治冲突驱动供应链安全性考虑
[2734s] 供应链正常流动被扰乱
[2736s] 以上种种都会驱动投资回报率下降
[2739s] 竞争力差得企业被淘汰
[2741s] 市场供应减少
[2742s] 从而带来一个新的平衡
[2744s] 所以如果说安全逻辑是站在国家层面
[2748s] 站在产业链视角的一个新逻辑
[2750s] 那么贸易饭市这四个字或者说新的贸易饭市
[2754s] 就是对于那些想在全球竞争中
[2757s] 存活下去的中国企业必须要理解的一个新逻辑
[2761s] 所以什么是新的贸易饭市
[2762s] 它是如何被重够的
[2764s] 我这里只提一个词
[2765s] 它其实也是有一个年报里面点出来的
[2768s] 是一个竞争更加激烈的这个电子制造业
[2770s] 里边有家企业叫环续电子
[2773s] 它在年报中说
[2774s] 客户为了实现供应链多元化的风险管理需要
[2778s] 部分离案外包转向进案或有案外包
[2781s] 需求和订单调整变化
[2783s] 叫快有案外包或者说进案外包
[2786s] 这个词我认为就是新的贸易饭市里面
[2789s] 非常非常重要的一个词
[2792s] 有案外包这个词最早是耶伦美联储的前主席
[2796s] 耶伦在2022年4月份大西洋理事会演讲里面
[2801s] 去推火的就以前当然也有
[2803s] 但那个之后就变得很火
[2805s] 他的背景是首先疫情导致了供应链断裂
[2808s] 其次额务战争后面
[2810s] 欧洲被天然气卡脖子了
[2812s] 所以西方开始系统性反思
[2814s] 经济效率和安全哪个优先
[2817s] 在这个基础上出现了有案外包盛行的
[2820s] 这么一个情况
[2822s] 如果再简单的介绍一下
[2824s] 离案进案和有案外包到底分别是什么的话
[2827s] 那么离案外包offering
[2829s] 值得就是哪便宜去哪儿
[2831s] 就完全只是算经济上
[2833s] 这个过去这么多年
[2835s] 美国包括欧美的整个制造业在多南亚
[2838s] 然后移到中国其实都是这么一套逻辑
[2842s] 那么进案外包
[2843s] 值得就是搬到地理上进的国家
[2846s] 他可以审运费时期比较接近
[2849s] 也比较好管理
[2850s] 最典型的就是美国企业搬去墨西哥
[2853s] 是这么一个逻辑
[2854s] 其实中国很多企业搬去东南亚
[2856s] 也是类似的逻辑
[2858s] 但第三个有案外包
[2860s] 就值得是必须得是有
[2862s] 这个有大部分时候
[2863s] 值得是政治上是盟友
[2865s] 当然有的时候
[2866s] 也包括一些其他形式的合作伙伴
[2868s] 那么搬到这些国家的好处是
[2872s] 哪怕成本会高一点
[2873s] 甚至高很多
[2874s] 但是不会出现某一天突然被断共
[2878s] 被加关税
[2879s] 被禁运的这种可能性
[2880s] 最典型的就是苹果
[2882s] 比如说把一部分的iPhone产能转移到了印度会越南
[2885s] 在比如说台积电一定要在美国建厂
[2888s] 在日本建厂
[2889s] 因为日美对吧
[2891s] 都是整个盟友体系里面的
[2892s] 有案外包
[2893s] 虽然是在2022年之后就被提出来的一个概念
[2896s] 但是大家可以想象
[2898s] 就是类似这样的一些产能的转移
[2901s] 包括供应链关系的转移
[2903s] 不是在一招一锡里面可以变化的
[2905s] 那么经过了两三年的一个准备
[2908s] 到了二五年
[2909s] 其实这个趋势会更加的明显
[2911s] 这样的贸易饭是到底如何
[2914s] 解入合应对呢
[2915s] 我们也暂时按下来
[2916s] 我必须要说第三个新逻辑的关键词
[2919s] 而这个新逻辑的关键词是
[2921s] 目前为止我认为唯一还没有被
[2924s] 安全逻辑没有被新的贸易饭是影响的
[2927s] 那就是AI基础设施
[2929s] AI算了基础设施
[2931s] 当然很多的上市公司年报里面都出现了
[2934s] 但这里我想举的一个例子
[2936s] 是一个转变非常大的企业
[2939s] 它叫工业赋连
[2940s] 就我刚知道这家公司的时候
[2942s] 其实它还是一个代工厂
[2945s] 这家公司刚上市的时候
[2946s] 很有名的是它是智能手机的
[2947s] 很重要的一个代工企业
[2949s] 但是几年不见
[2951s] 就是所谓的试别三日当刮目相看对吧
[2955s] 当我今年再打开的年报的时候
[2957s] 我会发现它其实已经变成了
[2959s] 全球AI服务器的龙头企业
[2962s] 那么在制股动性中
[2963s] 它的董事长就这么写到
[2964s] 它说深层是AI的广泛应用
[2967s] 使算力需求从通用计算
[2969s] 快速卖向高性能计算
[2971s] AI算力基础设施
[2972s] 以成为推动数字经济发展的核心底座
[2975s] 全球科技产业也有此进入了新一轮的程度器
[2979s] 当这个话
[2979s] 我觉得大家现在都明白
[2981s] 但是我还是要把它提出来
[2983s] 是因为我会发现今年大量的
[2986s] 这种年报里面都体现出来一个趋势
[2989s] 就是在上一轮包括智能手机
[2992s] 甚至在往前这种计算机的产业链发展中
[2996s] 成长起来的一笔企业
[2998s] 其实快速切入了
[2999s] 所谓的AI算力基础设施
[3001s] 然后成长成为了这个行业的一个中间力量
[3006s] 而且于同时
[3007s] 我们现在二级上投资者的感受力非常明显
[3010s] 就美国这边其实更重视的是
[3012s] 比如说像OpenAI
[3014s] And StorePick
[3015s] 包括SpaceX
[3016s] 但SpaceX有硬有软
[3018s] 但整体来说
[3019s] 他们都是代表了一种软AI的巨头
[3023s] 那么在二级上
[3024s] 虽然我们也有像英伟达这样的硬心片企业
[3028s] 但更多的所谓的器具头里面的
[3030s] 这些微软
[3032s] 包括像芽玛讯
[3033s] Mata其实都是用AI资本之初
[3036s] 软资本之初的一个讯事
[3038s] 在支撑它的一个估值和市值
[3040s] 但是中国投资者
[3042s] 显然更认可的是什么呢
[3044s] 是硬AI
[3045s] 是AI算力基础设施
[3047s] 是像光模块企业这样的站在光里的行业
[3051s] 也包括其实像AI芯片产业链
[3053s] 去年是含网嘛
[3054s] 含武器
[3056s] 今年虽然大家好像对它的关注度有所下降
[3058s] 但是如果你打开它的股价
[3060s] 突然就发现它其实已经重新回到了高点
[3062s] 然后再包括像电力设备版块
[3065s] 其实它是二零二六年
[3067s] 所有A股行业平均涨幅第一的一个版块
[3071s] 很难想像
[3072s] 原因是因为也是
[3074s] 我们前面介绍的好麦科技
[3076s] 所讲的燃气轮机
[3077s] 在包括很多的书店网的设备
[3081s] 都是现在都被规矩在AI算力基础设施里面
[3085s] 所以你会发现很有趣的事
[3087s] 就是我们刚才讲向前两个新逻辑
[3089s] 讲了很多安全
[3091s] 讲了很多有案外包
[3093s] 但是在一个技术革命的绝对速度要求之下
[3098s] 所谓的安全逻辑
[3100s] 茂亦饭市还是可以被抛在一边的效率
[3104s] 质量能力才是这个AI算力技术设施
[3107s] 至少在这个阶段最看重的
[3109s] 也正因为此就像我刚才说的
[3111s] 还是可以有一大波的中国企业
[3114s] 它吃到的这个AI基建的红力
[3116s] 不光是在中国的
[3117s] 更重要的是在美国的
[3119s] 关于AI这块其实后面
[3121s] 我还会想再要展开一下
[3123s] 但在这个时候
[3124s] 我想来聊一聊
[3126s] 如果不在AI算力技术设施产业
[3128s] 恋理的企业到底该怎么办
[3130s] 因为不是每家企业都能够转型成为
[3133s] 一个光模块企业的
[3135s] 对吧大部分的公司
[3137s] 还是需要去适应前两条逻辑的
[3139s] 特别是对于出海型的公司
[3141s] 就是所谓的安全逻辑跟茂亦饭市
[3144s] 这其实也是这个系列
[3147s] 九年貌基中的真中国
[3148s] 第三年关注出海
[3149s] 我会发现大家出海的速度也好
[3152s] 包括出海的这个规模也好是日益提高的
[3155s] 那么到底这些企业该如何应对这两条新逻辑呢
[3159s] 我想借用西马拉亚资本创始人理路
[3162s] 最近他有一个很火的访谈人
[3164s] 是谈比亚迪的成长史的
[3166s] 我觉得他里面提出来的一个词
[3167s] 非常的有价值
[3169s] 那就是中国籍的全球公司
[3172s] 首先他在访谈中是这么说的
[3173s] 他说全球公司这个概念
[3176s] 最早是在工业化后的欧洲国家
[3178s] 后来在二战之后的美国
[3180s] 实现了真正的虽然基于一个国家
[3183s] 但是商业在全球同时发展的这么一个模式
[3186s] 而到了现在这个节点
[3188s] 中国公司开始具备了这样的机会
[3190s] 这样的能量这样的能力
[3192s] 首先中国提供给了这些公司
[3194s] 四个条件第一
[3196s] 它是一个巨大的市场
[3198s] 第二
[3199s] 它是一个在监管上
[3201s] 计单一又统一的市场
[3203s] 第三
[3204s] 它在文化制属上是相对比较一致的市场
[3207s] 第四
[3207s] 它是一个面向全球开放性的市场
[3210s] 所以当这四个条件合在一起的时候
[3212s] 就使得在这个市场里面的冠军
[3215s] 会有机会在全球都成为冠军
[3218s] 但是理路提出了另外一点
[3220s] 就是它一定要是当地化的
[3222s] 成为当地经济发展的一部分
[3224s] 理路最后说
[3225s] 所以这个时代是会出现以中国为基础的全球公司
[3229s] 中国籍的全球公司
[3231s] 它认为比亚迪是整个这个浪潮里面
[3234s] 很重要的一朵浪花
[3235s] 但不是唯一的浪花
[3237s] 这个过程才刚刚开始
[3238s] 还有很长很长的路要走
[3240s] 那我们如果去看理路提出来的所谓的
[3244s] 中国籍的全球公司有两个很重要的前条件
[3247s] 第一个就是能在中国这样一个统一大市场里面
[3250s] 杀出一条雪路成为盛者的
[3253s] 第二个也是我今天更想讨论的是
[3256s] 能在出海后成为当地经济发展的一部分
[3260s] 而不仅仅是产品出口的
[3262s] 我认为后面这一点才是能够应对所谓的安全逻辑
[3266s] 和心贸易饭式两条心逻辑的一个必选项
[3270s] 为什么因为如果我们回头去看
[3273s] 2025年中国这些出海企业
[3275s] 其实它真的遭遇到了非常多很大的考验
[3278s] 其中最重要的一点当然就是关税战
[3281s] 虽然我们到今天为止在回头看
[3283s] 会认为因为Taco 因为中国等等国家
[3287s] 有非常有力的反击
[3289s] 其实美国发起的这个专关税战
[3291s] 是雷伸大于点小
[3292s] 并没有给真正的红关经济的运行造成了很大的干扰
[3297s] 但我当时就在想
[3298s] 其实对于个体企业来说一定是有非常多
[3302s] 就可以想像是在狂风暴雨中自己往前行的小传
[3306s] 它其实是非常非常困难的
[3308s] 也确实如此
[3309s] 我在很多的年报里面找到了一些支援片语
[3313s] 虽然很多企业已经不愿意再去说
[3315s] 当时到底有多困难
[3317s] 但是还是能够去一馈当时的一种精心动破
[3320s] 比如说去年其实我举过这个例子
[3322s] 一个工具龙头企业叫巨星科技
[3324s] 它在美洲的销售其实占比超过了60%
[3328s] 它在年报里就表示说
[3329s] 公司整体的生产和交付节奏在二级度受到明显影响
[3333s] 后续喊外产能恢复正常
[3335s] 但国内产能仍然受到了关税的负面影响
[3338s] 同时额外的关税成本推高了行业的评议售价
[3342s] 使得行业销量出现了显著下滑
[3345s] 在比如说海外收入差占比超过了70%的安克创新
[3349s] 大家可能比较熟悉是它的充电宝
[3351s] 其实有一系列的各种各样的包括处能等等的这些产品
[3355s] 它说2025年以来全球关税政策持续调整
[3359s] 贸易摩擦进一步加据
[3361s] 主要经济体相互加争关税对跨国企业的运营成本
[3365s] 和市场准录造成一定压力
[3367s] 所以其实加关税不光是美国向外面在假
[3371s] 我们知道各个国家之间
[3373s] 其实在整个这一轮里面有很多的彼此的反制
[3377s] 或者是提升
[3378s] 也有一些国家默默的悄悄的提高了
[3381s] 这一个乱局提高了针对外国很多商品的关税
[3387s] 为的是保护本国的经济
[3389s] 所以在这个过程中
[3391s] 我们这些中国企业出海的时候
[3393s] 一定会受到很多的影响
[3396s] 虽然从最后看起来
[3398s] 刚才在说的包括巨星科技包括安克创新
[3401s] 他们的业绩都基本实现了平穩过度
[3403s] 其实我觉得还真的挺不容易的
[3406s] 当然我知道他们只能代表一些消费品
[3409s] 如果你去看包括新能源车
[3411s] 包括一些可能在当地会受到更多的贸易保护的这些产业
[3417s] 业绩没有如此的平穩
[3419s] 但我觉得不管是哪一种的企业
[3422s] 如果你想在去年包括未来的这种环境下面
[3426s] 可以更好的出海生存下去
[3429s] 成为当地经济发展的一部分都是最重要的
[3433s] 所以这里我想把这一点
[3435s] 就是所谓真正的本地化再拆分
[3438s] 拆成三层
[3439s] 我们来看看现在的中国企业都进行到了哪一层
[3443s] 第一层也是最显而易见的
[3445s] 当然是制造的本地化
[3446s] 这个我在今年的年报里面
[3449s] 我看了三四百分年报
[3450s] 至少有100家都提到了海外的制造基地
[3454s] 有的是已经启用了
[3456s] 有的是甚至在擴建
[3457s] 但都提到了海外制造这个问题
[3460s] 这里我就不一引用了
[3462s] 但这里我想说的反倒是上个时代就开始在海外落地产能的
[3466s] 就是刚才也提过的仿制行业的龙头伸出国际
[3471s] 因为它真的是最早出海
[3472s] 落产能的这种企业之一
[3474s] 它给后来者提这个型
[3476s] 它是这么说的
[3477s] 它说我们企业年内毛利率下降的主要原因为两个
[3481s] 第一年内员工平均薪资上涨
[3484s] 同时减股债新成一工厂投产后
[3487s] 运行效率上处在提升期
[3489s] 使得生产成本中的人工之初
[3491s] 占销售收入的比例上升
[3493s] 第二
[3494s] 消亡美国市场的产品
[3496s] 因为受到了进口关税政策的变化
[3498s] 与客户分单部分关税成本带来的影响
[3501s] 所以你从这短短的一段话里面
[3504s] 能看出三点提醒
[3506s] 第一个海外的员工成本会不会长
[3509s] 有可能会长
[3510s] 第二点
[3510s] 海外的效率会不会比国内低大概率会
[3514s] 我说的是这种产能工厂的这个效率
[3516s] 第三点
[3517s] 关税会不会影响到这种海外的产能同样会
[3522s] 所以说产能出海并不是意味着万事大级的
[3526s] 如果说海外的人工更贵
[3529s] 效率又低一些
[3530s] 然后关税也躲不过
[3531s] 那么所谓的本地化到底要怎么去做
[3534s] 他到底意味着什么呢
[3536s] 这就要说到第二层本地化
[3538s] 我觉得也是在过去这两年
[3540s] 更重要的一个本地化
[3541s] 或者说出海的一个趋势
[3543s] 那就是供应链和产业极权的本地化
[3546s] 首先
[3547s] 如果说供应链这一段的话
[3550s] 顺风控股是一个很好的例子
[3551s] 因为去年我也介绍过
[3553s] 他是如何帮助一些潮玩跟茶营企业去出海的
[3558s] 那么今年他其实把很多的行业的出海需求进行了
[3562s] 进一步的细化
[3563s] 在年报里面又非常多的偏服来讲
[3566s] 他们是如何去帮助这些企业去进行一个供应链的出海的
[3571s] 比如说茶营企业
[3572s] 顺风就说
[3573s] 他已经成功负能多加中国的头部茶印品牌
[3577s] 支持其在新加坡马来西亚加拿大澳大利亚英国德国等海外区域
[3582s] 累积数百家门店的顺利开业运营
[3585s] 这里边他非常细致的列出了
[3587s] 他需要做哪些工作
[3589s] 比如说要为客户的国内供应商提供海外目的地的产品标签
[3593s] 新光和贵要求培训
[3595s] 然后要确保出口的物料符合当地的法规
[3598s] 于是从时呢
[3599s] 可以整合多个客户的出口需求
[3601s] 来提升货贵的满载率
[3603s] 这样可以缩短发货的时效
