[12s] 你好 欢迎来到投资ABC
[14s] 这是一档有有之有型
[1628s] 然后第三个就是税用的部分
[1630s] 我们投资任何一个东西
[1632s] 还是要看这个性价比的
[1634s] 那我为了赚这些钱
[1637s] 我是不是付出的这个成本太高了
[1640s] 从这个几个伪度来看它是不是值得我买
[1643s] 其实我刚刚很喜欢刚刚提到的一个词就是性价比
[1646s] 我觉得是跌砖图给我最大的一个起发
[1649s] 比如说我想要买个股的时候
[1651s] 它的收益是不是足够高到让我承担的这个风险很有性价比
[1656s] 因为我没事的时候我就会去刷一刷各种理财软件
[1659s] 有的时候就会刷刷刷然后点开看一下
[1661s] 一这个正30%是什么
[1663s] 但是我是那天和岗岗聊完之后
[1665s] 我才意识到说
[1666s] 当我想要去动心起念的说
[1669s] 我能不能正30%的时候
[1671s] 我能不能意识到这个正30%背后是意味着
[1675s] 我要多承担更高的一些风险
[1678s] 那我多承担的那些风险
[1680s] 首先是不是我能承担的
[1681s] 第二这个正30%和这个风险来说是不是有性价比
[1685s] 其实就回到那个摘验窝的例子
[1687s] 如果说你九四一生发动你全家跑到一个懸崖
[1691s] 跳逼上风吹雨灵
[1693s] 你摘了这个验窝
[1694s] 你回老家可以盖房子
[1695s] 就会觉得这个事情很值
[1697s] 因为虽然我富贵险中求
[1699s] 但我真正意义上改变我家人的生活
[1701s] 但如果你搞了这么多之后
[1702s] 那验窝一块钱一斤
[1704s] 那你就没有人去搞这个事情了
[1706s] 对 我觉得投资的时候总会有一个阶段
[1709s] 这个阶段可能还会反复出现
[1710s] 就是你会想去多买一些东西
[1713s] 想去多探索一些
[1714s] 然后在这个过程中
[1716s] 其实你非常容易就会被高收益息
[1720s] 谁不想多这么点呢
[1721s] 对 但你应该关注它收益的同时
[1725s] 也同时要关注它的风险
[1728s] 如果你不知道这些的话
[1730s] 其实你就很容易
[1732s] 因为脑子一热去买到一些
[1735s] 可能不适合你的产品
[1736s] 对 我觉得刚才那个港港讲得很好
[1738s] 他们做了这个SBI之后
[1740s] 其实现在意识上已经知道了
[1742s] 我买一个产品不是只看收益
[1744s] 我要看它的风险
[1745s] 我要看它的这个夜积准
[1747s] 这个是一个很好的习惯了
[1749s] 但是在实际投资中
[1750s] 其实有很多的细节
[1751s] 还是会让人感到困惑
[1753s] 你看我们中国大力资产投资年报
[1756s] 看起来已经讲了很多类资产了
[1758s] 从通过膨胀到大盘谷小盘谷
[1760s] 到新用战什么的
[1761s] 但其实你在市场上
[1762s] 你看到的这种产品
[1764s] 基金也好 组合也好
[1766s] 它很多都是各类资产
[1767s] 穿到一块的
[1768s] 比如说我们讲大盘谷
[1769s] 是非常宽泛的一个资产种类
[1771s] 但是很多基金或者说投资产品
[1773s] 它可能是我就投一个行业
[1776s] 就投一个赛道
[1777s] 或者就投一个金经理
[1779s] 认可的其实是股票
[1780s] 那它的风险
[1782s] 跟我们讲的这个大类资产的风险
[1784s] 它就不是一回事
[1785s] 我们讲的这个大类资产风险
[1787s] 比如说我们以货人300代表中国的大盘谷
[1789s] 货人300
[1790s] 它这个规则要保证
[1792s] 它永远覆盖的是中国的这些
[1795s] 市值比较高
[1796s] 留东西比较好的
[1797s] 主要的这些公司
[1799s] 它是要先保证这个的话
[1800s] 它的风险和收益特征
[1802s] 才会是这样
[1802s] 不是说你任何买一个
[1804s] 叫大盘基金的
[1806s] 都会是这样
[1807s] 我想倒会去一点
[1809s] 那动代
[1810s] 我觉得像叠专图
[1812s] 它能够帮助我去理解
[1814s] 因为我觉得基金组合
[1815s] 它本身就是大类资产之间的不同配比
[1818s] 你心里边有这个矛点的话
[1819s] 是大概能够知道它的风险收益特征的
[1822s] 那其实从你刚刚去讲的话
[1824s] 我觉得这个说法其实也不准确
[1826s] 因为这中间它买的是宽基行业
[1830s] 还是主题
[1831s] 就不一定能够跟那个大类资产完全对应上
[1834s] 可能对一个投资人来说
[1836s] 比如说看到我们这个数据
[1837s] A股过去21年的整体平均
[1840s] 年化收益率是10.41%
[1842s] 然后它这伙去买了一个行业基金
[1844s] 年化收益
[1846s] 我不知道随便说2%
[1847s] 它就说为什么你这个10.41
[1849s] 没有体现在我这个品类上呢
[1851s] 是因为它的这个投资标地
[1853s] 本身不一样
[1854s] 我们说A股整体有10%的生意
[1856s] 但你买一个行业
[1858s] 比如说你买一个基础山山行业
[1860s] 或者说买一个消费行业
[1861s] 它是A股整体的一部分
[1863s] 它只是其中的一部分
[1864s] 是
[1864s] 它有可能这个收益跟它就是有比较大的偏差
[1867s] 那第二波动也可能有比较大的偏差
[1870s] 一般你只喜欢这里边的一部分
[1872s] 跟我们说的这种宽基指数行业
[1875s] 一定是比整体是要这个波动更大的
[1877s] 第三个它的周期也很可能很可能不一样
[1880s] 比如说我们讲A股整体
[1882s] 之前我们几几讲了很多了
[1884s] 就是我们看到它10年能不能回本
[1886s] 10年的收益是不是多少
[1888s] 这个已经是在宽基的基础上得到的一个结论
[1891s] 那你在一个行业里面可能是比这个还要更极端
[1894s] 就有可能那边10年没回本
[1896s] 这边可能15年还没有回本
[1898s] 所以说我们不能拿我们这里边的资产的数据
[1901s] 就完全套到任意敲出一小部分
[1904s] 就都会是这样的
[1905s] 这是不能这么套的
[1907s] 其实我觉得我们就拿A股整体的这个数据想
[1910s] 其实我前段时间也在想
[1912s] 这个数和我自己投资之间的关系到底是什么
[1914s] 因为我非常有可能就是买到了一个行业
[1917s] 但是我后来意识到为什么沉默是它一直是说
[1920s] 是一个基石基石过昨天有点想明白这件事情
[1924s] 就是说按理来讲我去买A股整体
[1927s] 我不去判断这个A股里面的哪一个部分是更好的
[1930s] 哪一个部分是更差的
[1930s] 我就把这个伊兰子全卖了
[1932s] 我长期来说要得到10.4亿的这个收益
[1936s] 那如果说我去做了一些操作
[1939s] 比如说我选了某一个细分的行业
[1941s] 我选了一个主动基金经理
[1943s] 我应该要比这个收益高
[1944s] 我做这些才有意义
[1945s] 因为我做这些付出了很多时间经历成本
[1947s] 如果没有比这个高
[1949s] 那我是不是就不应该这样去做
[1951s] 这料可以稍微展开讲讲
[1952s] 早期的时候我跟你一样
[1954s] 我知道市场平均是比较百分之十左右
[1957s] 当然当时我觉得百分之十很容易超越
[1960s] 你认为甚至是个有点平庸的收益
[1962s] 对啊肯定要觉得这个太平庸了
[1964s] 平均都能打到这么多
[1966s] 我这么努力去研究它
[1967s] 我不应该拿到比它更高一点的收益
[1969s] 是
[1970s] 比如说我利用温度机做低买高卖
[1972s] 我利用我的出去研究
[1974s] 我去挑出一些更好的资产
[1975s] 挑出一个更好的行业
[1977s] 我就可以比较轻松地去超越这个市场平均吗
[1980s] 这个其实也是我对你好好奇的一个问题
[1983s] 因为我们在做投资大事系列的时候
[1986s] 小炮老师他就有提到
[1987s] 其实在这个市场上面有四类人
[1990s] 一种是细菁
[1991s] 就比如说像Berachman那种
[1992s] 他就长得很帅
[1993s] 然后哈佛毕业到处演讲说
[1995s] 我觉得这个公司就是怎么样
[1997s] 他的一些选奨行为
[1999s] 甚至是可以左右这个市场的一些经济行为
[2001s] 这一类是细菁
[2002s] 另外一种
[2003s] 就是做事商就是商贩
[2005s] 我通过提供流动性
[2006s] 你们在我的这个市场里面交易
[2008s] 然后我去赚
[2009s] 比如说这个场地的地租之类的
[2011s] 还有另外两种
[2012s] 我觉得对我们来说比较有代表性
[2013s] 一种就是老农民
[2014s] 另外一种叫烈人
[2015s] 我觉得我就是属于老农民的那种
[2017s] 什么叫老农民呢
[2018s] 就是我春天波众
[2020s] 然后夏天吃肥秋天收获
[2021s] 冬天白凉
[2022s] 除起来非常客苦精精业业的
[2024s] 也没有什么
[2025s] 很多的花火在里面
[2027s] 就是伴随着这个司机变化
[2029s] 纯夏秋冬去做一些事情就好了
[2031s] 顺应市场
[2032s] 对 顺应市场
[2033s] 还有一种就是烈人
[2034s] 我有非常高超的这个博弈能力
[2036s] 我去市场里面打烈
[2037s] 然后我打来的烈物随便的这个价值
[2039s] 去市场上面卖掉
[2040s] 都能卖出很高的价格
[2042s] 我觉得我呢
[2043s] 就是只能当一个老农民
[2045s] 虽然我们没有那么高的博弈技巧
[2047s] 但我们可以靠秦奋
[2048s] 去获得一个合理的收益
[2051s] 然后我觉得我对这个事情
[2053s] 就是被动的接受
[2054s] 但是你应该有很强的打烈技巧
[2056s] 当然了
[2056s] 但是你现在给我呈现出来的投资状态
[2059s] 就比较老农民
[2060s] 我就没想明白
[2060s] 为什么你干与做一个老农民
[2062s] 你刚开始的时候
[2063s] 肯定是都想当一个烈人的
[2064s] 我当时还觉得我有这个能力
[2066s] 即使不管是利用温度技艺也好
[2067s] 去寻找这种
[2069s] 超格的这种价值因子
[2070s] 动量因子也好
[2071s] 包括我怎么利用中间的波动
[2073s] 做一些波断
[2074s] 我实际上有很多了
[2075s] 对啊
[2076s] 我没明白为什么你不错波断的
[2077s] 因为很多人到盛天半子
[2079s] 就是要卖在牛市镜头买
[2081s] 在雄市低点
[2082s] 我觉得你有那么多数据
[2083s] 然后你对这个也很了解
[2084s] 你完全可以脱手
[2085s] 所以在这个事上
[2086s] 你经历过所有的时间之后
[2088s] 你才明白什么是容易的
[2091s] 什么是难的
[2092s] 那个难度到底有多高
[2094s] 信说你的时间
[2096s] 对
[2096s] 这个事其实就非常有意思
[2098s] 比如说我自己大概从
[2099s] 八六年前就开始投资
[2100s] 对吧
[2101s] 然后在那个时候
[2102s] 我对市场的周期
[2103s] 而觉得是非常有信心的
[2105s] 当时会觉得说
[2106s] 我有一个温度技战
[2107s] 一个工具
[2108s] 哎
[2109s] 我通过数据的回测
[2110s] 拿历史数据去验证的话
[2112s] 就非常容易能看出来
[2113s] 什么时候高温什么时候低温
[2115s] 所以就当时拿了
[2116s] 能够投的
[2117s] 二十多个指数
[2118s] 就全部都去试了
[2120s] 那在那个上轮的牛胸展换里面
[2123s] 就是我们知道
[2124s] 一八年是一个A股的一个胸市
[2126s] 到了19年
[2127s] 二零年
[2128s] 二一年又连续上涨了三年
[2129s] 它是一个牛市
[2131s] 所以在这个过程中
[2132s] 温度技应该非常容易
[2133s] 能够变别出来
[2134s] 这个牛市和胸市
[2135s] 而且一股波动还大
[2137s] 对
[2137s] 波动很大
[2139s] 那这样的话
[2139s] 我第一买高卖
[2140s] 是应该有更好的收益的
[2142s] 对吧
[2143s] 所以在那个阶段
[2144s] 我用温度技
[2145s] 在这二十多个平壮里面
[2146s] 我大概操作了二十四左右
[2148s] 然后统计了一下
[2150s] 二十四里边
[2151s] 十六个
[2152s] 我都做到了这个低买高卖
[2154s] 一般来讲
[2154s] 我们看到百分之八十的胜利
[2156s] 你怎么着你都应该是
[2157s] 转得更多
[2158s] 然后陪得更少
[2159s] 对
[2160s] 但后来我复盘一下
[2161s] 然后会发现
[2162s] 在二零年二一年那个牛市里边
[2165s] 我判断它到了高估的时候
[2166s] 我就会把它卖掉
[2167s] 卖掉之后
[2168s] 等它那个到了二二年二三年
[2170s] 这个下跌的时候
[2171s] 我再把它卖回来
[2172s] 所以这个周期其实还挺长的
[2174s] 对
[2174s] 因为你只有把这个价格的区间拉开
[2177s] 那你做的每次操作
[2178s] 你的盈利才会有足够的保障吧
[2181s] 比如说
[2182s] 我从这个一块钱的时候
[2183s] 我开始把它卖掉
[2185s] 那我得得跌到
[2186s] 比如说九毛钱的时候
[2187s] 或者八毛钱的时候
[2188s] 我再把它买回来
[2189s] 那我做了一次操作
[2190s] 我就可以转百分之十百分之二十
[2192s] 这样才有意义
[2193s] 这样的话
[2194s] 你看我二十四里边
[2195s] 十六次做对了
[2196s] 每做一对一次
[2197s] 我至少转百分之十
[2198s] 对吧
[2199s] 这样算的话
[2200s] 我应该转了百分之一百六
[2201s] 但是我做错那四次
[2203s] 你知道为什么错吗
[2205s] 是因为第一
[2206s] 我卖掉之后
[2208s] 温度再也没有降下来
[2209s] 价格继续往上涨
[2210s] 比如像眉骨这样的暗力上
[2212s] 就是我想做高估的判断非常难
[2214s] 我当时觉得
[2215s] 确实已经很高了
[2216s] 转了也很多了
[2217s] 但还有持续上的相卖掉了
[2218s] 卖掉之后
[2219s] 它不跌
[2220s] 它继续涨
[2221s] 它一直涨
[2222s] 等我再想不到买回来的时候
[2223s] 发现
[2224s] 它已经涨了百分之一百了
[2226s] 也就是说这一份
[2227s] 如果我不去操作的话
[2229s] 我应该多收益百分之一百的
[2231s] 但是因为我把它卖掉了
[2232s] 我就损失了
[2233s] 其实是百分之一百的收益
[2235s] 还有一个比较典型的例子
[2236s] 就是像红力
[2238s] 红力也是因为它波动比较小
[2240s] 所以你在做这样的卖出的时候
[2242s] 它虽然也有些小小的下跌
[2244s] 但是它因为跌这个幅度
[2245s] 没有达到我当时设的区间
[2247s] 所以没有把它重新买回来
[2248s] 结果后来也是就继续上涨
[2250s] 一直上涨
[2251s] 而且是什么呢
[2252s] 判断的周期不太对
[2254s] 就是当时觉得
[2255s] 红力是高估了
[2257s] 而且数据的回测看出来
[2258s] 也是相对高估的吗
[2260s] 对
[2260s] 但是
[2261s] 你温度计判断的高估低估
[2263s] 判断的再对
[2264s] 它也没有办法去预测
[2265s] 未来的走势是不是会上涨还是下跌
[2268s] 所以这样算下来
[2269s] 我做的80%对的
[2271s] 每次对
[2272s] 然后大概赚10%
[2274s] 但是做错的20%
[2276s] 每次的其实影像亏损
[2277s] 有的亏百分之一百
[2278s] 有的可能亏个50%
[2280s] 这样算下来
[2281s] 你整个加上一块
[2283s] 其实整体的还是亏的
[2284s] 所以我们做投资
[2285s] 不如说光是一个看胜率的一问题
[2288s] 你还得看
[2289s] 你每胜一次货胜的比例有多大
[2292s] 还有一种情况就是
[2293s] 我卖出之后
[2294s] 我等它下跌
[2296s] 确实它等到下跌
[2297s] 我又再不再买回来了
[2298s] 但是等了多少时间呢
[2300s] 大概等了三年之后
[2302s] 那你那些资金怎么办
[2304s] 你就空苍等待
[2306s] 因为你按照原来的想法的话
[2307s] 我卖出之后
[2308s] 就应该把它放在
[2309s] 比如说货席里面
[2311s] 然后等到的下跌
[2312s] 这样才是最安全的嘛
[2313s] 可是你这样资金利用不是很没效率
[2315s] 那你三年这个钱
[2316s] 本身可以创造收益的
[2318s] 对
[2318s] 它就有两点
[2319s] 第一点
[2320s] 就是我本来可以放在
[2321s] 比如说资金利用的效率更高的
[2323s] 其他的这种股票上面
[2325s] 那第二点就是
[2327s] 这三年
[2328s] 让你等待的时候
[2329s] 你心里的那个肩哦
[2331s] 因为在中间过程
[2332s] 它一直没有跌到
[2333s] 你理想的那个下跌的那个幅度
[2335s] 你会不断地怀疑自己
[2337s] 我只是是不是判断错了
[2338s] 我上次那个操作
[2339s] 为什么会这样
[2340s] 当然这里面还有另外一种情况就是
[2342s] 你以为它低估了
[2344s] 你这个加债了
[2346s] 但是呢
[2347s] 加债之后它继续低估
[2349s] 然后你会觉得说
[2350s] 这是一个更好的机会
[2351s] 别的评众上没有机会
[2353s] 所以我在这个评众上
[2354s] 可以更多的买入
[2355s] 买买买
[2356s] 结果你的温度机可能没有
[2358s] 那么就是快的这种显现
[2360s] 也可能是等三年都不涨
[2362s] 三年都没有在哪儿
[2363s] 后来看
[2364s] 不行
[2364s] 我还是得遵守资产配置的底线
[2367s] 我哪怕再看好它
[2368s] 我也不能给它加成
[2370s] 明显偏厉了原来的这个资产中书
[2373s] 哪怕是一个评众
[2373s] 我再不看好它
[2375s] 我觉得它高估了
[2376s] 那可以把盈利部分卖掉
[2377s] 可以去做一些判断
[2379s] 但也不应该把它清仓
[2380s] 或者说大幅的检仓
[2382s] 还是要遵重这个资产配置的
[2384s] 这种底线的这种思维
[2386s] 才能够说
[2387s] 我能够相对来讲
[2388s] 更在这个市场的这种波动中
[2391s] 就是它抵抗了一些未知的风险
[2393s] 那相信来讲
[2394s] 如果你非常确信一个工具
[2396s] 你觉得这个工具非常有效
[2399s] 就有可能把你倒向一个
[2401s] 你未知的一个风险
[2403s] 而且很多因素没考虑到
[2404s] 你像温度机就是你要卖高买低嘛
[2407s] 听起来非常的正
[2408s] 就觉得谁知道卖高买低中间
[2409s] 你要等三年
[2410s] 就是你在做这个策略之前
[2413s] 其实你没有想到
[2414s] 它中间的区间会这么长
[2415s] 对不对
[2417s] 我肯定是没想到
[2417s] OK
[2418s] 我当时还想的说
[2419s] 你最好是一直这么波动
[2421s] 你最好两三个月
[2422s] 就给我长长爹爹
[2423s] 长长爹爹一回
[2424s] 这样我就来回吃波段
[2425s] 来回吃收益
[2426s] 你就没有想到说
[2427s] 市场如果这个单边下跌
[2429s] 或者是个单边上涨的时候
[2431s] 你这种手段还有没有效
[2433s] 但你为什么当时
[2434s] 没想去选一个天然的波动
[2436s] 这么高的标地比如说各股呢
[2438s] 那你只会死得更惨
[2440s] 为什么
[2440s] 因为温度机之所以有效
[2441s] 是相信市场是有周期的
[2443s] 一定是来来回回的
[2445s] 但你一个股是有可能
[2447s] 你不行了就是不行
[2448s] 你就是脱离了
[2450s] 你原来的这个发展轨迹
[2451s] 或者整个市场环境已经完全变了
[2453s] 我有点理解了
[2454s] 就像比如说自然环境中
[2455s] 它肯定是有称下秋冬的
[2457s] 但有可能你买的呢
[2458s] 是一个小水谈
[2460s] 然后那个小水谈
[2461s] 上面有一个洞穴
[2462s] 这个洞穴里就常年是音量的
[2464s] 它外面确实是大胎上30度
[2465s] 但是你这个洞穴里
[2467s] 它都温度就一直是月边月底
[2469s] 月边月底也是有可能的
[2470s] 对啊
[2470s] 对
[2471s] 就是你说对整个世界上来讲
[2474s] 你一定是有称下秋冬来回这个周期网负的
[2476s] 明白
[2477s] 但对于很局部的一个地区来讲
[2480s] 它有可能就是完全消失了
[2482s] 这种风险是很大的
[2483s] 我想说的就是我曾经也尝试过
[2486s] 也想过就是这个波段的念头
[2489s] 但是我觉得就是有点太累了
[2492s] 不知道大家怎么那么有时间
[2493s] 反正我觉得我每天很忙
[2496s] 然后我没有时间去看那个盘呢
[2498s] 然后又得自己去设置
[2501s] 我有很懒私
[2502s] 我就后来几个月我记得就不搞了
[2504s] 对
[2504s] 这是你的这个感受
[2505s] 因为我知道事上有很多事像我这样的人的
[2508s] 是刚开始是不服了
[2509s] 你说你没时间
[2510s] 那我有时间
[2512s] 对吧
[2512s] 你说你没经历
[2513s] 我有经历
[2514s] 你说你没技术
[2514s] 我认为我有技术
[2516s] 你说一开始就劝着我就不要去这种尝试
[2518s] 肯定是不对的
[2520s] 我一直觉得就是
[2521s] 你有想法
[2522s] 你认为你有任何的技巧
[2524s] 可以超越这个市场平均的话
[2525s] 只要你刚开始不会去冒
[2527s] 那种特别大的风险
[2528s] 你拿出一部分资金
[2529s] 去尝试什么有问题的
[2531s] 而且我相信对我这种人
[2533s] 你只有真的尝试过了
[2534s] 你才知道什么是适合你自己的
[2537s] 所以你刚才问我那个问题
[2538s] 为什么现在像一个老农民一样
[2540s] 是因为很多方法我都尝试过了
[2542s] 那是不是说我就彻底放弃了
[2544s] 说超越市场平均收益的这个想法呢
[2547s] 其实不是的
[2548s] 但是它不取得有自己的技巧多高
[2551s] 它取决的是市场给不给机会
[2554s] 比如说市场如果现在再出现一次
[2556s] 像2024年2018年那样的大底部
[2560s] 我肯定是敢于更多的加仓的
[2561s] 但是没有这样的机会出现的时候
[2564s] 我硬要在这里边去
[2565s] 说靠着我的技巧去
[2567s] 获得更高的收益
[2568s] 我认为这个是至少对我来讲
[2570s] 是不现实的
[2571s] 我觉得我们就是完全不一样的投资者
[2573s] 对于我来说就是
[2575s] 按照答案不信
[2576s] 按不中
[2576s] 所以就不干了
[2577s] 就这么个想法
[2579s] 因为我意思这个意愿不强
[2581s] 第二个是没有经历
[2583s] 也不想去研究
[2584s] 也没有能力去研究
[2586s] 那你看它们都都转转
[2587s] 还是觉得分散配置
[2589s] 资产配置
[2590s] 这些是根本
[2591s] 我就是跟着这些根本走就行了
[2593s] 我想再追问一下
[2595s] 杜纳
[2595s] 像你发现就是
[2597s] 可能研究太多最后的结果
[2599s] 跟不演就差不多
[2601s] 你会不会有点失落
[2602s] 这工作不值得干
[2604s] 当然不会
[2605s] 我其实现在还想做更多的研究
[2608s] 其实对我来讲最大的那个驱动力
[2610s] 是求真
[2611s] 就这个事我能真正懂得
[2613s] 对我来讲是一个最大的奖赏
[2615s] 因为这样会让我心里面
[2616s] 非常的舒服
[2617s] 就是如果没有经过自己的研究
[2619s] 没有经过自己的探索
[2621s] 然后别人告诉我一个道理
[2622s] 我是没有那么相信的
[2624s] 但是经过这些之后
[2625s] 我会非常相信它
[2626s] 而且这个最后让我觉得
[2628s] 我能够更接近真相的这个过程
[2630s] 会让我无比地觉得自豪
[2632s] 或者说无比地觉得舒服
[2634s] 明白
[2634s] 那我们在节目比较
[2636s] 区径伪生的部分
[2637s] 我们就夸下海口
[2639s] 展望一下明年
[2640s] 因为当时程波士说了嘛
[2642s] 这是一个要持续二十多年的项目
[2644s] 持续二十年的项目
[2646s] 已经做了三年
[2646s] 还有十七年
[2647s] 还有十七年土构
[2648s] 所以我们每年
[2649s] 肯定也会希望做一些变化
[2651s] 如果说我们叫夸下海口
[2653s] 明年要在这个年报当中
[2655s] 多增加一些内容的话
[2657s] 大家觉得会是什么
[2659s] 对我来讲
[2659s] 其实有三个内容
[2661s] 一个是听到用户反馈
[2662s] 比较多的关于定头
[2664s] 大家对于说一次用投资
[2666s] 这种结果已经不满足了
[2667s] 看下看到就是定头的结果是怎么样的
[2669s] 一个是资产配置
[2671s] 就是我们知道了各类资产的这个
[2673s] 收益和这个风眼特征
[2674s] 但是怎么做资产配置
[2676s] 把他们结合起来会有什么样的效果
[2678s] 大家可能还是不太清楚
[2679s] 而且是我们讲的也比较少的
[2681s] 我就这部分是需要增加的
[2683s] 第三个是
[2684s] 其实我们也一直都在聊的
[2685s] 就是你老告诉我一个二十年一百年的结果
[2689s] 但我的这个实际投资时间
[2690s] 可能没有那么长
[2691s] 我只能投三五年
[2692s] 或者我只能投十年
[2694s] 那你告诉我这个结果
[2695s] 对我的十年的投资有什么的这种
[2697s] 知道意义
[2699s] 我就这个是要解决的
[2700s] 我们应该给大家讲清楚
[2702s] 比如说站在十年
[2703s] 或者二十年这个违度上
[2705s] 然后你还有多少的这种不确定性
[2708s] 这个区间到底能收点到多载
[2710s] 这等一下大家有一个印象
[2711s] 而不是说我只拿一个二十年或者一百年
[2714s] 最终这个结果做成唯一的这个标迟
[2716s] 我们应该把这个区间讲清楚
[2718s] 其实我会觉得
[2719s] 房地产是真的很值得加的
[2722s] 但是我知道动大之前
[2723s] 我们试过有那些数据上的难典嘛
[2726s] 对吧
[2727s] 那就作为你的一个提议呗
[2729s] 你这个强烈在提议提
[2730s] 也说不掉今天就能做上了
[2732s] 亲爱的投资ABC的听众们
[2735s] 如果你希望明年中国大类资产年报
[2738s] 能够增加房地产方面的研究
[2741s] 请在评论区为我打扣
[2743s] 谢谢
[2744s] 请给童童留言
[2746s] 那就是在节目的最后
[2748s] 其实还是回归到
[2749s] 我们节目一开始说的
[2750s] 我相信很多朋友在第一眼看到
[2753s] 中国大类资产年报的这个网页的时候
[2756s] 会有一种心理的门槛
[2758s] 首先数据很专业
[2759s] 有各种各样的公式
[2760s] 有各种样的图表
[2761s] 可能我这一看
[2763s] 我也不是非常的理解
[2764s] 但是我又很想了了解投资
[2766s] 我也一直在寻寻秘密
[2768s] 有没有哪一个内容是可以让我接触投资
[2771s] 或者是入门投资的
[2772s] 我看到了这个材料
[2774s] 我觉得说有点意思
[2775s] 但是太难读了
[2777s] 对于这一类的朋友
[2778s] 大家对于在如何使用这个年报上面
[2780s] 有没有什么小建议
[2782s] 我觉得就看图就行了
[2785s] 知道
[2786s] 就看那三张图
[2787s] 图一杠一中国大类资产的长期年华收益
[2792s] 图二杠一
[2794s] A股整体的滚动年华收益率
[2797s] 还有六杠一这个风险一架图
[2800s] 我觉得你拿着这三张图
[2801s] 把我们的文字丢给AI
[2803s] 你和AI聊一聊
[2805s] 我觉得肯定是对你有些帮助的
[2807s] 我觉得对于大家来说
[2808s] 首先就是前眼部分
[2811s] 一般我们都会把我们的做这件事情的一些动机
[2816s] 还有我们只说今年新增的内容
[2819s] 一般都会写在前眼
[2820s] 包括今年的这个
[2821s] 比如说年华收益率
[2823s] 它新出来这个数据跟去年有什么不同
[2826s] 所以前眼这部分其实
[2828s] 大家可以更仔细地去看一下
[2830s] 然后其他的
[2831s] 我觉得就是可以允许自己先无法理解
[2835s] 当中的某一些东西
[2837s] 但是你可以整个的去扫一眼
[2840s] 去给你留下一个印象
[2841s] 比如说结合我们这几期的这个节目
[2844s] 然后大家可以去看一下
[2847s] 这个东西你是不是也可以这样去用
[2850s] 如果它暂时你觉得它没有太大的用
[2853s] 也OK
[2854s] 但是我们可以随着这个时间的推进去验证一下
[2858s] 长期之后它是不是还是这样
[2861s] 对我来讲真的不好选
[2864s] 因为这里边都很重要
[2867s] 你已经离心手太远了是吗
[2870s] 我不知道你的初心
[2872s] 其实我真的觉得是我们每张都很有这个
[2874s] 看的必要
[2875s] 就是比如说刚才在同志已经推进了
[2877s] 那三张图
[2878s] 那个确实是很重要
[2879s] 当然对我来讲
[2880s] 比如说没有提到的像第三张
[2883s] 我们的股票收益和债券收益的这个采分
[2886s] 那讲到第四张
[2887s] 营业收益和这个实际收益
[2888s] 就是我们不能光看一个资产的
[2892s] 它的名业收益
[2893s] 我们要看它战胜的通过膨脚多少
[2896s] 这个也是评价你的资产保持争执的
[2898s] 非常重要的一个概念
[2900s] 如果是没有时间经历
[2901s] 把这些全闻都读完的话
[2903s] 我出现了一个读法的话
[2904s] 每一张我们有一个小的前言
[2906s] 以及它的第一张和第二张图
[2908s] 就是你至少对每一张有一个基本的概念
[2911s] 嫂爷
[2912s] 心里边有一个这样的一个记忆
[2913s] 我觉得都是很好的一个帮助
[2915s] 对我来说我用的方法有点像是结合了
[2918s] 动大和统统
[2918s] 就是第一眼我肯定是把我感兴趣的
[2920s] 土表都过了一遍
[2921s] 因为我是一个比较视觉性的人
[2923s] 而且土表我们有了交互功能之后
[2925s] 其实你就更能够和那个数据之间有一个互动
[2929s] 所以我是更能够理解那个图表
[2931s] 再说什么想要呈现什么
[2933s] 第二个就是我会快速的把每一张的结论
[2936s] 先看一下
[2937s] 我就说不定也是一个好的使用方法
[2939s] 对
[2939s] 那最后感谢大家录制我们节目
[2941s] 谢谢Amy
[2942s] 谢谢
[2943s] 谢谢大家
[2944s] 谢谢大家
[2945s] 拜拜拜拜
[2953s] 不玩这一期节目
[2954s] 我觉得自己和这份年报的关系
[2957s] 也发生了一些改变
[2959s] 因为之前
[2960s] 我会觉得它是一份
[2962s] 我需要非常用力去弄动的
[2965s] 很艰难的材料
[2967s] 但是听完大家的分享
[2968s] 我发现其实我也可以轻轻地去使用它
[2972s] 有些部分再是不理解
[2974s] 也没关系
[2975s] 有些公式看不明白
[2977s] 也没关系
[2979s] 我可以先按照我自己舒服的节奏来
[2982s] 可以先轻巧地玩一玩土表
[2984s] 看一看每一张的结论
[2986s] 在心里留一个印象
[2987s] 也许有一天
[2989s] 我对某个投资问题
[2990s] 蒙发了真正的好奇心的时候
[2993s] 这份年报的内容
[2994s] 又会从新从我的身体里生发出来
[2997s] 作为我探索的一个支点
[2999s] 一个参照
[3000s] 如果你听完之后
[3002s] 对中国大类资产投资2025年报
[3005s] 多了一下好奇
[3006s] 不妨先从一张图
[3008s] 一个结论
[3009s] 或者是一个
[3010s] 你正在关心的问题开始
[3012s] 或许它会在某个时刻
[3013s] 变成你投资生活中的一个小小作表
[3017s] 以上就是本期节目的
[3018s] 全部内容了
[3019s] 感谢你听到这里
[3020s] 我们下期再见
[3021s] 拜拜
